Study	Sample	Normal_or_Tumor	Coverage	Notes
Li et al.	PMID32398863;BDESCC-01-822	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-823	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-824	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-826	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-829	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-832	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-836	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-838A	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-838B	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-841	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-842	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-843	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-844	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-845	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-846	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-847	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-851	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-855	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-858	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-859	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-860	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-861	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-862	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-865	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-866	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-869	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-870	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-871	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-873	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-874	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-875	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-880	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-881	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-885	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-886	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-887	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-888	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-890	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-893	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-894	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-897	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-900	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-901	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-903	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-907	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-908	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-910	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-911	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-913	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-914	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-915	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-916	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-918	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-922	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-924	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-927	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-935	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-936	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-937	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-939	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-942	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-943	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-948	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-950	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-951	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-956	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-960	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-961	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-962	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-963	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-968	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-973	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-974	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-976	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-977	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-980	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-982	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-983	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-986	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-987	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-989	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-992	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-993	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-994	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-995	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-996	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-999	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32974170;42473	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42474	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42475	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42476	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42477	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42478	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42479	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42480	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42481	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42492	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42493	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42494	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42495	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42496	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42497	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42498	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42499	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42500	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;42501	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;56957	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID32974170;56958	Tumor	exome	originally published by Mangalaparthi et al.(2018)
Li et al.	PMID34263978;12	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;12T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;13T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;14T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;15	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;16	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;17	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;2	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;21T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;23	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;23T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;25	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;26T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;28T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;29T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;3	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;30T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;31	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;32	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;32T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;36T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;37	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;39	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;4	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;40	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;41T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;42T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;43T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;44T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;46T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;48T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;49	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;49T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;4T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;50T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;51	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;51T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;52T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;53T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;54	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;54T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;55T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;56	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;56T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;57	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;57T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;59	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;6	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;60	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;61	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;62	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;6T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;72	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;73	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;74	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;77	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;79	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;8	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;80	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;84	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;85	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;86	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;89	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;9	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;94	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;95	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;96	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;9T	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR029	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR041	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR044	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR079	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR099	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR106	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR107	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR134	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR148	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR150	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR154	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR158	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR169	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR178	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR186	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR216	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR217	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR220	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR230	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34263978;DR240	Tumor	exome	originally published by Takemoto et al.(2021)
Li et al.	PMID34285259;T1	Tumor	exome	originally published by Erkizan et al.(2021)
Li et al.	PMID34285259;T14	Tumor	exome	originally published by Erkizan et al.(2021)
Li et al.	PMID34285259;T15	Tumor	exome	originally published by Erkizan et al.(2021)
Li et al.	PMID34285259;T16	Tumor	exome	originally published by Erkizan et al.(2021)
Li et al.	PMID34285259;T19	Tumor	exome	originally published by Erkizan et al.(2021)
Li et al.	PMID34285259;T5	Tumor	exome	originally published by Erkizan et al.(2021)
Li et al.	PMID34285259;T6	Tumor	exome	originally published by Erkizan et al.(2021)
Li et al.	PMID34285259;T7	Tumor	exome	originally published by Erkizan et al.(2021)
Li et al.	PMID34285259;T8	Tumor	exome	originally published by Erkizan et al.(2021)
Li et al.	PMID34285259;T9	Tumor	exome	originally published by Erkizan et al.(2021)
Li et al.	PMID34413060;Case_A	Tumor	exome	originally published by Hirata et al.(2021)
Li et al.	PMID34413060;Case_B	Tumor	exome	originally published by Hirata et al.(2021)
Li et al.	PMID34413060;Case_C	Tumor	exome	originally published by Hirata et al.(2021)
Li et al.	PMID34413060;Case_D	Tumor	exome	originally published by Hirata et al.(2021)
Li et al.	PMID34413060;Case_E	Tumor	exome	originally published by Hirata et al.(2021)
Li et al.	TCGA;TCGA-IC-A6RF	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-IG-A3I8	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-IG-A3QL	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-IG-A3Y9	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-IG-A3YA	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-IG-A3YB	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-IG-A3YC	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-IG-A4P3	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-IG-A4QT	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-IG-A50L	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-IG-A51D	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-IG-A5B8	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-IG-A5S3	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-IG-A625	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-IG-A6QS	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-IG-A8O2	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-IG-A97H	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-IG-A97I	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-JY-A6FA	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-JY-A6FD	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-JY-A6FE	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-JY-A93F	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-KH-A6WC	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-L5-A43H	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-L5-A43J	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-L5-A88S	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-L5-A88W	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-L5-A88Z	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-L5-A8NK	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-L5-A8NQ	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-L7-A56G	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A49K	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A49L	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A49M	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A49N	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A49O	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A49P	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A49R	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A49S	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A49U	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A49V	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A49W	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A49X	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A49Y	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A4A1	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A4A2	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A4A3	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A4A4	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A4A5	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A4A6	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A4A8	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A4A9	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A4MQ	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A4MR	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A5U5	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A5U6	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A5U7	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A7HV	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A7HW	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A7HX	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A7HY	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A7HZ	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A8HZ	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A8I0	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A8I1	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A9FO	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A9FP	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A9FQ	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-LN-A9FR	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-Q9-A6FU	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-S8-A6BW	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-V5-A7RC	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-V5-AASV	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-VR-A8EO	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-VR-A8EP	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-VR-A8ER	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-VR-A8ET	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-VR-A8EU	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-VR-A8EW	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-VR-A8EX	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-VR-A8EY	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-VR-A8EZ	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-VR-A8Q7	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-VR-AA4G	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-VR-AA7B	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-VR-AA7D	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-VR-AA7I	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-XP-A8T6	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-XP-A8T7	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-XP-A8T8	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-Z6-A8JD	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-Z6-A8JE	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-Z6-A9VB	Tumor	exome	originally from TCGA
Li et al.	TCGA;TCGA-Z6-AAPN	Tumor	exome	originally from TCGA
Yokoyama et al.	UPN100_ND	Normal	targeted	N/A
Yokoyama et al.	UPN100_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN101_ND	Normal	targeted	N/A
Yokoyama et al.	UPN101_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN102_ND	Normal	targeted	N/A
Yokoyama et al.	UPN102_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN103_ND	Normal	targeted	N/A
Yokoyama et al.	UPN104_ND	Normal	targeted	N/A
Yokoyama et al.	UPN104_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN105_ND	Normal	targeted	N/A
Yokoyama et al.	UPN105_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN106_ND	Normal	targeted	N/A
Yokoyama et al.	UPN106_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN107_ND	Normal	targeted	N/A
Yokoyama et al.	UPN107_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN108_ND	Normal	targeted	N/A
Yokoyama et al.	UPN108_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN109_ND	Normal	targeted	N/A
Yokoyama et al.	UPN109_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN10_ND	Normal	targeted	N/A
Yokoyama et al.	UPN10_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN110_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN111_ND	Normal	targeted	N/A
Yokoyama et al.	UPN111_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN112_ND	Normal	targeted	N/A
Yokoyama et al.	UPN112_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN113_ND	Normal	targeted	N/A
Yokoyama et al.	UPN113_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN114_ND	Normal	targeted	N/A
Yokoyama et al.	UPN114_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN115_ND	Normal	targeted	N/A
Yokoyama et al.	UPN115_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN116_ND	Normal	targeted	N/A
Yokoyama et al.	UPN116_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN117_ND	Normal	targeted	N/A
